"REF_DATE","GEO","DGUID","Lender type","Characteristics of outstanding residential mortgage loans","Residential mortgage loans outstanding","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 95%, insured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992336","1.1.43.2","54857","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total uninsured outstanding residential mortgages by loan-to-value (LTV) ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992097","1.1.44.1","196782916","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total uninsured outstanding residential mortgages by loan-to-value (LTV) ratio","Number of mortgages outstanding","Number","223","units","0","v1374992337","1.1.44.2","1111853","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","25% or less, uninsured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992098","1.1.45.1","13656320","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","25% or less, uninsured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992338","1.1.45.2","168330","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 25% and up to 45%, uninsured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992099","1.1.46.1","24247970","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 25% and up to 45%, uninsured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992339","1.1.46.2","177238","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 45% and up to 65%, uninsured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992100","1.1.47.1","59043324","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 45% and up to 65%, uninsured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992340","1.1.47.2","312141","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 65% and up to 75%, uninsured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992101","1.1.48.1","54015056","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 65% and up to 75%, uninsured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992341","1.1.48.2","220406","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 75% and up to 80%, uninsured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992102","1.1.49.1","37936751","","","","0"
